"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.000374054574976504,0.477092625937418,0.121,0.09,1,"0","Mark1"
1.49637214335484e-05,0.464355642509945,0.132,0.093,0.215881609121803,"0","Gm13539"
0.000590620677606427,0.45925477081708,0.117,0.088,1,"0","Egf"
1.4162736914361e-07,0.425391318950796,0.242,0.18,0.00204325805463487,"0","Gm43674"
2.08509372132443e-06,0.419102673356184,0.22,0.167,0.0300816471175476,"0","Ccdc149"
0.00406676462252052,0.415582781301461,0.113,0.088,1,"0","Kcnip3"
2.06183261124228e-05,0.405724093667369,0.191,0.145,0.297460590823924,"0","Fam221a"
2.35780907120336e-07,0.405021211316723,0.228,0.168,0.00340161114702509,"0","D730003I15Rik"
0.00188876300265095,0.396822964704602,0.149,0.119,1,"0","Fam210b"
9.34312373595211e-31,0.383081259077935,1,1,1.34793246138581e-26,"0","Gm14135"
5.50500148097813e-110,2.84217753386721,0.339,0.075,7.94206563660715e-106,"1","Iglv1"
2.09825151235636e-73,2.74065866881673,0.709,0.488,3.02714745687653e-69,"1","Slpi"
1.97626258336499e-323,2.72336233701285,0.975,0.55,2.85115402902067e-319,"1","Jchain"
3.47723948673156e-30,2.69955787728365,0.618,0.554,5.01661340750763e-26,"1","Ighg1"
8.94393367240194e-52,2.66813093098312,0.513,0.288,1.29034131091743e-47,"1","Iglc1"
7.93021517011055e-242,2.64293091489763,0.999,0.822,1.14409214259185e-237,"1","Igkc"
1.41908666771495e-93,2.44267607552417,0.556,0.235,2.04731633551236e-89,"1","Iglc2"
1.81963071492757e-92,2.42260826943851,0.459,0.165,2.62518123242601e-88,"1","Mzb1"
1.94706791630949e-23,2.19244718655328,0.297,0.167,2.8090348828597e-19,"1","Ighg2c"
2.21324022720364e-38,2.17960396306769,0.365,0.185,3.19304167578669e-34,"1","Ighg2b"
2.38875344514468e-56,3.67547934726697,0.117,0.013,3.44625459531023e-52,"2","Ccr7"
8.29559418030231e-70,3.66446521835352,0.157,0.02,1.19680537239221e-65,"2","Il2rg"
2.34484376013509e-121,3.63178352870742,0.496,0.159,3.3829060927469e-117,"2","Ccl5"
1.60893965209326e-52,3.5600646531971,0.118,0.015,2.32121723607495e-48,"2","Ms4a1"
3.61996232947288e-70,3.49586561437777,0.175,0.026,5.22251965273053e-66,"2","Trac"
4.0410471296796e-46,3.42617747485541,0.116,0.017,5.83001869398875e-42,"2","Siglecg"
5.5160032694678e-75,3.41858893398008,0.197,0.032,7.9579379168612e-71,"2","Gimap1"
3.70506821262778e-50,3.35422532781963,0.133,0.021,5.3453019103581e-46,"2","Slamf6"
9.48770826982294e-38,3.34610982980382,0.1,0.016,1.36879167208736e-33,"2","Epsti1"
2.92209651669111e-78,3.30352622454774,0.214,0.037,4.21570864463026e-74,"2","Cd22"
8.04065663674055e-45,0.941869106312488,0.795,0.625,1.16002553298256e-40,"3","Scgb2b17"
7.6356197275267e-31,0.818333748883948,0.678,0.461,1.10159085809028e-26,"3","mt-Nd4"
6.7395728971757e-25,0.792404891842995,0.543,0.344,9.72318181875539e-21,"3","mt-Nd1"
2.26121483311978e-23,0.792246572518163,0.836,0.752,3.2622546397419e-19,"3","Scgb2b18"
8.99937808189733e-12,0.791284133578249,0.24,0.136,1.29834027587533e-07,"3","mt-Nd3"
2.85728520475402e-05,0.782703829670667,0.32,0.25,0.412220536489862,"3","Obp1b"
6.2176819572172e-33,0.757075572412712,0.855,0.707,8.97024975967726e-29,"3","mt-Co2"
1.67540905263302e-87,0.717099863365557,0.99,0.92,2.41711264023366e-83,"3","mt-Atp6"
2.36222300461781e-16,0.714406576891267,0.496,0.343,3.40797912876212e-12,"3","mt-Nd2"
1.9431017988898e-28,0.678875040122502,0.929,0.918,2.80331296525832e-24,"3","Esp24"
1.60975271403798e-267,2.90970281083162,1,0.706,2.3223902405426e-263,"4","Gm14743"
4.41654467506749e-07,0.983830731597529,0.342,0.249,0.00637174900271986,"4","Obp1b"
1.43184327695564e-05,0.825329891656308,0.115,0.064,0.20657202956639,"4","Gm49835"
4.97674302600825e-05,0.706027298323889,0.161,0.104,0.71799471636221,"4","Esp34"
1.13346393513304e-08,0.675495703152837,0.699,0.621,0.000163524841921644,"4","Esp1"
1.91957754042713e-13,0.597086493471143,0.593,0.47,2.76937451757422e-09,"4","Gm12886"
0.00418246214048992,0.541807352538596,0.133,0.094,1,"4","Gm1330"
7.45512399802021e-11,0.518726566874466,0.516,0.373,1.07555073919438e-06,"4","Rimklb"
0.00744733701497374,0.500723728747174,0.12,0.086,1,"4","Adhfe1"
0.00296911329588396,0.468933918189811,0.168,0.123,1,"4","Dusp5"
1.0257320174585e-113,4.87527211283102,0.233,0.023,1.47982358158738e-109,"5","A2ml1"
5.05023124019567e-253,4.70114974851868,0.678,0.132,7.28596861023029e-249,"5","Dmbt1"
1.08964062022147e-181,4.66049986206876,0.55,0.11,1.57202452279352e-177,"5","Cyp2f2"
6.38630556445144e-128,4.4202143586747,0.237,0.02,9.21352303783409e-124,"5","F5"
1.13131548977707e-122,3.98967981473608,0.233,0.02,1.63214885710138e-118,"5","Acsm1"
1.26782955214359e-125,3.93632947654514,0.363,0.06,1.82909769487755e-121,"5","Cbr2"
6.39109215318286e-68,3.90315592245535,0.126,0.01,9.22042864939692e-64,"5","Fmo1"
3.83161969983288e-61,3.89006746530404,0.107,0.008,5.5278777409489e-57,"5","Clic6"
4.64025489543645e-74,3.86470456333149,0.133,0.01,6.69449573764616e-70,"5","Kit"
3.15516714068188e-251,3.75707425065081,0.957,0.476,4.55195963386175e-247,"5","Ltf"
2.82113017994694e-40,3.392585182244,0.179,0.024,4.07004451060945e-36,"6","Odam"
1.14715524255794e-154,3.26947978965326,0.987,0.367,1.65500086843833e-150,"6","Car6"
1.50890860352439e-63,2.33581837267938,0.629,0.197,2.17690244230463e-59,"6","Mup5"
9.38273028313819e-08,1.46846160533878,0.118,0.042,0.00135364649794835,"6","Prpmp5"
1.73993260900029e-07,1.3339017574538,0.14,0.056,0.00251020077500472,"6","Gm44410"
9.31416751388708e-05,0.947433410371724,0.144,0.074,1,"6","Mc5r"
3.26264276644966e-05,0.885081401545745,0.179,0.095,0.470701471915692,"6","Gm1330"
0.0025808826655374,0.777979954951224,0.131,0.076,1,"6","Smco4"
0.000169706848827764,0.75164165118593,0.262,0.167,1,"6","Esp23"
0.0013055702777508,0.734086128638284,0.135,0.076,1,"6","Mrpl2"
